,Age Group,Sex,Year,Count
Breast,55-59,F,2006.0,250.0
Breast,55-59,F,2007.0,259.0
Breast,55-59,F,2008.0,240.0
Breast,55-59,F,2009.0,298.0
Breast,55-59,F,2010.0,285.0
Breast,55-59,F,2011.0,283.0
Breast,60-64,F,1999.0,122.0
Breast,60-64,F,2000.0,157.0
Breast,60-64,F,2001.0,145.0
Breast,60-64,F,2002.0,156.0
Breast,60-64,F,2003.0,177.0
Breast,60-64,F,2004.0,172.0
Breast,60-64,F,2005.0,181.0
Breast,60-64,F,2006.0,209.0
Breast,60-64,F,2007.0,246.0
Breast,60-64,F,2008.0,258.0
Breast,60-64,F,2009.0,245.0
Breast,60-64,F,2010.0,266.0
Breast,60-64,F,2011.0,243.0
Breast,65-69,F,1999.0,107.0
Breast,65-69,F,2000.0,139.0
Breast,65-69,F,2001.0,140.0
Breast,65-69,F,2002.0,142.0
Breast,65-69,F,2003.0,154.0
Breast,65-69,F,2004.0,143.0
Breast,65-69,F,2005.0,146.0
Breast,65-69,F,2006.0,173.0
Breast,65-69,F,2007.0,198.0
Breast,65-69,F,2008.0,198.0
Breast,65-69,F,2009.0,235.0
Breast,65-69,F,2010.0,250.0
Breast,65-69,F,2011.0,253.0
Breast,70-74,F,1999.0,98.0
Breast,70-74,F,2000.0,131.0
Breast,70-74,F,2001.0,97.0
Breast,70-74,F,2002.0,119.0
Breast,70-74,F,2003.0,92.0
Breast,70-74,F,2004.0,117.0
Breast,70-74,F,2005.0,120.0
Breast,70-74,F,2006.0,138.0
Breast,70-74,F,2007.0,183.0
Breast,70-74,F,2008.0,166.0
Breast,70-74,F,2009.0,193.0
Breast,70-74,F,2010.0,175.0
Breast,70-74,F,2011.0,193.0
Breast,75-79,F,1999.0,101.0
Breast,75-79,F,2000.0,119.0
Breast,75-79,F,2001.0,93.0
Breast,75-79,F,2002.0,96.0
Breast,75-79,F,2003.0,114.0
Breast,75-79,F,2004.0,94.0
Breast,75-79,F,2005.0,99.0
Breast,75-79,F,2006.0,132.0
Breast,75-79,F,2007.0,136.0
Breast,75-79,F,2008.0,125.0
Breast,75-79,F,2009.0,134.0
Breast,75-79,F,2010.0,142.0
Breast,75-79,F,2011.0,142.0
Breast,80-84,F,1999.0,68.0
Breast,80-84,F,2000.0,83.0
Breast,80-84,F,2001.0,79.0
Breast,80-84,F,2002.0,70.0
Breast,80-84,F,2003.0,101.0
Breast,80-84,F,2004.0,82.0
Breast,80-84,F,2005.0,95.0
Breast,80-84,F,2006.0,105.0
Breast,80-84,F,2007.0,127.0
Breast,80-84,F,2008.0,97.0
Breast,80-84,F,2009.0,124.0
Breast,80-84,F,2010.0,136.0
Breast,80-84,F,2011.0,131.0
Breast,85+,F,1999.0,46.0
Breast,85+,F,2000.0,63.0
Breast,85+,F,2001.0,60.0
Breast,85+,F,2002.0,55.0
Breast,85+,F,2003.0,63.0
